year,category,variable,units,magnitude,source,data_value,flag
2012,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2013,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2014,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2015,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2016,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2017,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2018,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2019,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2020,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,P
2021,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.2,P
2009,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2010,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2011,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2012,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2013,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2014,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2015,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2016,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2017,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2018,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2019,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2020,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2021,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2009,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,3297,F
2010,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,2481,F
2011,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,3195,F
2012,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5581,F
2013,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5408,F
2014,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5551,F
2015,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5179,F
2016,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,4541,F
2017,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,4416,F
2018,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,4376,F
2019,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5007,F
2020,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5541,P
2021,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,6729,P
2007,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.9,F
2008,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.5,F
2009,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.7,F
2010,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.5,F
2011,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.3,F
2012,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.7,F
2013,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.6,F
2014,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.5,F
2015,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.5,F
2016,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,F
2017,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,F
2018,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.3,F
2019,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,F
2020,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,P
2021,Marine services,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,P
2007,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,,F
2008,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,,F
2009,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.9,F
2010,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.1,F
2011,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.6,F
2012,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.2,F
2013,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.6,F
2014,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.9,F
2015,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,5.5,F
2016,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,4.9,F
2017,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,-0.2,F
2018,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.3,F
2019,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.9,F
2020,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,4.9,P
2021,Marine services,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,6.3,P
2007,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.4,F
2008,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.3,F
2009,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.7,F
2010,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.9,F
2011,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,5.2,F
2012,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.3,F
2013,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.4,F
2014,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.7,F
2015,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.4,F
2016,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.2,F
2017,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.1,F
2018,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.5,F
2019,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,4.3,F
2020,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,3.9,P
2021,Marine services,Contribution to marine economy earnings,Proportion,Actual,LEED,3.7,P
2007,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,,F
2008,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,,F
2009,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2010,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2011,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2012,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2013,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2014,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2015,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2016,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2017,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2018,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2019,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,F
2020,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,P
2021,Marine services,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,P
2007,Marine services,GDP,Dollars,Thousands,Environmental Accounts,,F
2008,Marine services,GDP,Dollars,Thousands,Environmental Accounts,,F
2009,Marine services,GDP,Dollars,Thousands,Environmental Accounts,125559,F
2010,Marine services,GDP,Dollars,Thousands,Environmental Accounts,136986,F
2011,Marine services,GDP,Dollars,Thousands,Environmental Accounts,120131,F
2012,Marine services,GDP,Dollars,Thousands,Environmental Accounts,139137,F
2013,Marine services,GDP,Dollars,Thousands,Environmental Accounts,154022,F
2014,Marine services,GDP,Dollars,Thousands,Environmental Accounts,158223,F
2015,Marine services,GDP,Dollars,Thousands,Environmental Accounts,234404,F
2016,Marine services,GDP,Dollars,Thousands,Environmental Accounts,193947,F
2017,Marine services,GDP,Dollars,Thousands,Environmental Accounts,-6739,F
2018,Marine services,GDP,Dollars,Thousands,Environmental Accounts,96299,F
2019,Marine services,GDP,Dollars,Thousands,Environmental Accounts,170368,F
2020,Marine services,GDP,Dollars,Thousands,Environmental Accounts,225655,P
2021,Marine services,GDP,Dollars,Thousands,Environmental Accounts,247311,P
2007,Marine services,Gross earnings,Dollars,Thousands,LEED,65380,F
2008,Marine services,Gross earnings,Dollars,Thousands,LEED,80915,F
2009,Marine services,Gross earnings,Dollars,Thousands,LEED,92838,F
2010,Marine services,Gross earnings,Dollars,Thousands,LEED,95249,F
2011,Marine services,Gross earnings,Dollars,Thousands,LEED,88071,F
2012,Marine services,Gross earnings,Dollars,Thousands,LEED,75777,F
2013,Marine services,Gross earnings,Dollars,Thousands,LEED,76292,F
2014,Marine services,Gross earnings,Dollars,Thousands,LEED,81033,F
2015,Marine services,Gross earnings,Dollars,Thousands,LEED,85974,F
2016,Marine services,Gross earnings,Dollars,Thousands,LEED,83211,F
2017,Marine services,Gross earnings,Dollars,Thousands,LEED,82962,F
2018,Marine services,Gross earnings,Dollars,Thousands,LEED,96676,F
2019,Marine services,Gross earnings,Dollars,Thousands,LEED,96502,F
2020,Marine services,Gross earnings,Dollars,Thousands,LEED,89485,P
2021,Marine services,Gross earnings,Dollars,Thousands,LEED,85067,P
2007,Marine services,Mean earnings,Dollars,Thousands,LEED,44570,R
2008,Marine services,Mean earnings,Dollars,Thousands,LEED,48220,R
2009,Marine services,Mean earnings,Dollars,Thousands,LEED,54010,R
2010,Marine services,Mean earnings,Dollars,Thousands,LEED,62620,R
2011,Marine services,Mean earnings,Dollars,Thousands,LEED,61590,R
2012,Marine services,Mean earnings,Dollars,Thousands,LEED,60090,R
2013,Marine services,Mean earnings,Dollars,Thousands,LEED,63470,R
2014,Marine services,Mean earnings,Dollars,Thousands,LEED,66640,R
2015,Marine services,Mean earnings,Dollars,Thousands,LEED,70070,R
2016,Marine services,Mean earnings,Dollars,Thousands,LEED,68320,R
2017,Marine services,Mean earnings,Dollars,Thousands,LEED,63620,R
2018,Marine services,Mean earnings,Dollars,Thousands,LEED,74770,R
2019,Marine services,Mean earnings,Dollars,Thousands,LEED,75100,R
2020,Marine services,Mean earnings,Dollars,Thousands,LEED,73830,P
2021,Marine services,Mean earnings,Dollars,Thousands,LEED,72030,P
2007,Marine services,Wage and salary earners,Number,Actual,LEED,1467,F
2008,Marine services,Wage and salary earners,Number,Actual,LEED,1677,F
2009,Marine services,Wage and salary earners,Number,Actual,LEED,1719,F
2010,Marine services,Wage and salary earners,Number,Actual,LEED,1521,F
2011,Marine services,Wage and salary earners,Number,Actual,LEED,1431,F
2012,Marine services,Wage and salary earners,Number,Actual,LEED,1260,F
2013,Marine services,Wage and salary earners,Number,Actual,LEED,1203,F
2014,Marine services,Wage and salary earners,Number,Actual,LEED,1215,F
2015,Marine services,Wage and salary earners,Number,Actual,LEED,1227,F
2016,Marine services,Wage and salary earners,Number,Actual,LEED,1218,F
2017,Marine services,Wage and salary earners,Number,Actual,LEED,1305,F
2018,Marine services,Wage and salary earners,Number,Actual,LEED,1293,F
2019,Marine services,Wage and salary earners,Number,Actual,LEED,1284,R
2020,Marine services,Wage and salary earners,Number,Actual,LEED,1212,P
2021,Marine services,Wage and salary earners,Number,Actual,LEED,1182,P
2007,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,F
2008,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.3,F
2009,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,F
2010,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2011,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3,F
2012,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2013,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2014,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2015,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2016,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,F
2017,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,F
2018,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.2,F
2019,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,F
2020,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,P
2021,Marine tourism and recreation,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.6,P
2007,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,,F
2008,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,,F
2009,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.6,F
2010,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.8,F
2011,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.6,F
2012,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,1.2,F
2013,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,1,F
2014,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.2,F
2015,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.8,F
2016,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,1.6,F
2017,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.2,F
2018,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.2,F
2019,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.3,F
2020,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,2.2,P
2021,Marine tourism and recreation,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,3.2,P
2007,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2,F
2008,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.1,F
2009,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,F
2010,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,F
2011,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,F
2012,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,F
2013,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,F
2014,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,F
2015,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.8,F
2016,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,1.9,F
2017,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.2,F
2018,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.2,F
2019,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.3,F
2020,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.3,P
2021,Marine tourism and recreation,Contribution to marine economy earnings,Proportion,Actual,LEED,2.5,P
2007,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,,F
2008,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,,F
2009,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
